"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.3,0,0.9,7,0.9,0,0,100,69,1.64,1.66678787438049,0,0,0,0,0,0,0,0,0,145,1.45,1.14922020113948,52,0.52,0.502116731568678
0.4,0,0.9,7,0.9,0,0,100,64,1.2,1.32573593055923,0,0,0,0,0,0,0,0,0,133,1.33,0.739300788965937,48,0.48,0.502116731568678
0.5,0,0.9,7,0.9,0,0,100,78,1.35,1.15797629116882,0,0,0,0,0,0,0,0,0,121,1.21,0.607944043145387,57,0.57,0.497569851956243
0.6,0,0.9,7,0.9,0,0,100,85,1.27,0.930460948002427,0,0,0,0,0,0,0,0,0,117,1.17,0.532859638121892,64,0.64,0.482418151324422
0.7,0,0.9,7,0.9,0,0,100,79,1.06,0.763034876150639,0,0,0,0,0,0,0,0,0,112,1.12,0.408989886516436,58,0.58,0.496044963748858
0.8,0,0.9,7,0.9,0,0,100,84,1.02,0.619220755009345,0,0,0,0,0,0,0,0,0,106,1.06,0.277797979063414,58,0.58,0.496044963748858
0.9,0,0.9,7,0.9,0,0,100,86,0.9,0.414387707005374,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,66,0.66,0.476095228569524
1,0,0.9,7,0.9,0,0,100,92,0.92,0.272659924344291,0,0,0,0,0,0,0,0,0,100,1,0,70,0.7,0.460566186471838
0,0,0.9,8,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,8,0.9,0,0,100,39,1.65,2.47563888295282,0,0,0,0,0,0,0,0,0,230,2.3,1.96689777789464,31,0.31,0.464823198711732
0.2,0,0.9,8,0.9,0,0,100,55,1.73,2.13132007275427,0,0,0,0,0,0,0,0,0,183,1.83,1.68208024166326,42,0.42,0.496044963748858
0.3,0,0.9,8,0.9,0,0,100,63,1.38,1.43393222160659,0,0,0,0,0,0,0,0,0,145,1.45,1.01876336206147,47,0.47,0.501613558046592
0.4,0,0.9,8,0.9,0,0,100,67,1.54,1.56618303302305,0,0,0,0,0,0,0,0,0,141,1.41,0.985705920453034,48,0.48,0.502116731568678
0.5,0,0.9,8,0.9,0,0,100,80,1.41,1.31114107139198,0,0,0,0,0,0,0,0,0,131,1.31,0.872648355017731,58,0.58,0.496044963748858
0.6,0,0.9,8,0.9,0,0,100,83,1.32,1.09063969737716,0,0,0,0,0,0,0,0,0,111,1.11,0.373219679669936,68,0.68,0.46882617226215
0.7,0,0.9,8,0.9,0,0,100,81,1.11,0.839612705328769,0,0,0,0,0,0,0,0,0,108,1.08,0.338743966363203,65,0.65,0.479372485441102
0.8,0,0.9,8,0.9,0,0,100,83,0.95,0.575159178669767,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,65,0.65,0.479372485441102
0.9,0,0.9,8,0.9,0,0,100,90,0.94,0.39746672562593,0,0,0,0,0,0,0,0,0,101,1.01,0.1,75,0.75,0.435194139889245
1,0,0.9,8,0.9,0,0,100,93,0.93,0.256432399976243,0,0,0,0,0,0,0,0,0,100,1,0,73,0.73,0.446196043338474
0,0,0.9,9,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,9,0.9,0,0,100,46,1.77,2.50193864227262,0,0,0,0,0,0,0,0,0,202,2.02,1.95907626139969,36,0.36,0.482418151324422
0.2,0,0.9,9,0.9,0,0,100,61,2.08,2.33411242404491,0,0,0,0,0,0,0,0,0,199,1.99,1.84497680037972,45,0.45,0.5
0.3,0,0.9,9,0.9,0,0,100,63,1.6,1.6143297699233,0,0,0,0,0,0,0,0,0,147,1.47,1.01955625126569,50,0.5,0.502518907629606
0.4,0,0.9,9,0.9,0,0,100,67,1.43,1.43727435646698,0,0,0,0,0,0,0,0,0,123,1.23,0.600588936550675,55,0.55,0.5
0.5,0,0.9,9,0.9,0,0,100,84,1.49,1.15902257671425,0,0,0,0,0,0,0,0,0,121,1.21,0.624338033278432,71,0.71,0.456048021572068
0.6,0,0.9,9,0.9,0,0,100,86,1.24,0.792897766857032,0,0,0,0,0,0,0,0,0,116,1.16,0.46536615322309,58,0.58,0.496044963748858
0.7,0,0.9,9,0.9,0,0,100,82,1.07,0.699999999999999,0,0,0,0,0,0,0,0,0,112,1.12,0.455715665384423,61,0.61,0.490207130000198
0.8,0,0.9,9,0.9,0,0,100,83,1.01,0.674124947205223,0,0,0,0,0,0,0,0,0,108,1.08,0.338743966363203,57,0.57,0.497569851956243
0.9,0,0.9,9,0.9,0,0,100,92,1.09,0.514339823993296,0,0,0,0,0,0,0,0,0,100,1,0,75,0.75,0.435194139889245
1,0,0.9,9,0.9,0,0,100,91,0.91,0.287623491264661,0,0,0,0,0,0,0,0,0,100,1,0,75,0.75,0.435194139889245
0,0,0.9,10,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,10,0.9,0,0,100,38,1.19,1.94206492209096,0,0,0,0,0,0,0,0,0,226,2.26,1.93646559223214,27,0.27,0.446196043338474
0.2,0,0.9,10,0.9,0,0,100,52,1.26,1.63064094729339,0,0,0,0,0,0,0,0,0,158,1.58,1.21588808629077,37,0.37,0.48523658709391
0.3,0,0.9,10,0.9,0,0,100,76,1.85,1.75450358457395,0,0,0,0,0,0,0,0,0,146,1.46,1.16705621202246,61,0.61,0.490207130000198
0.4,0,0.9,10,0.9,0,0,100,77,1.57,1.44428515050166,0,0,0,0,0,0,0,0,0,139,1.39,1.0039819709436,57,0.57,0.497569851956243
0.5,0,0.9,10,0.9,0,0,100,78,1.27,1.05270215074437,0,0,0,0,0,0,0,0,0,116,1.16,0.506921785850339,63,0.63,0.48523658709391
0.6,0,0.9,10,0.9,0,0,100,80,1.3,1.08711461300922,0,0,0,0,0,0,0,0,0,123,1.23,0.708605117199426,59,0.59,0.49431107042371
0.7,0,0.9,10,0.9,0,0,100,87,1.07,0.685418105828829,0,0,0,0,0,0,0,0,0,104,1.04,0.242878362539562,70,0.7,0.460566186471838
0.8,0,0.9,10,0.9,0,0,100,91,1.05,0.5,0,0,0,0,0,0,0,0,0,105,1.05,0.261116483933547,75,0.75,0.435194139889245
0.9,0,0.9,10,0.9,0,0,100,84,0.969999999999999,0.61059666133077,0,0,0,0,0,0,0,0,0,103,1.03,0.171446607997765,65,0.65,0.479372485441102
1,0,0.9,10,0.9,0,0,100,90,0.9,0.301511344577763,0,0,0,0,0,0,0,0,0,100,1,0,61,0.61,0.490207130000197
0,0,0.9,1,0.9,0.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,1,0.9,0.2,0,100,11,0.11,0.31446603773522,2,0.02,0.14070529413629,0,0,0,0,0,0,100,1,0,6,0.06,0.238683256575942
0.2,0,0.9,1,0.9,0.2,0,100,13,0.13,0.337997668989631,1,0.01,0.1,0,0,0,0,0,0,100,1,0,9,0.0900000000000001,0.287623491264661
0.3,0,0.9,1,0.9,0.2,0,100,26,0.26,0.440844002276808,3,0.03,0.171446607997765,0,0,0,0,0,0,100,1,0,20,0.2,0.402015126103685
0.4,0,0.9,1,0.9,0.2,0,100,35,0.35,0.479372485441102,7,0.07,0.256432399976243,0,0,0,0,0,0,100,1,0,24,0.24,0.429234695990928
0.5,0,0.9,1,0.9,0.2,0,100,49,0.49,0.502418393795692,7,0.07,0.256432399976243,0,0,0,0,0,0,100,1,0,28,0.28,0.451260859854213
0.6,0,0.9,1,0.9,0.2,0,100,62,0.62,0.487831731214564,14,0.14,0.348735088019777,0,0,0,0,0,0,100,1,0,36,0.36,0.482418151324422
0.7,0,0.9,1,0.9,0.2,0,100,56,0.56,0.498887651569859,8,0.08,0.272659924344291,0,0,0,0,0,0,100,1,0,38,0.38,0.487831731214563
0.8,0,0.9,1,0.9,0.2,0,100,62,0.62,0.487831731214564,10,0.1,0.301511344577763,0,0,0,0,0,0,100,1,0,38,0.38,0.487831731214563
